Category: All categories,
,
Week,1800 respect: (Australia)
1/05/2016,0
8/05/2016,0
15/05/2016,0
22/05/2016,0
29/05/2016,41
5/06/2016,41
12/06/2016,57
19/06/2016,0
26/06/2016,0
3/07/2016,0
10/07/2016,15
17/07/2016,15
24/07/2016,0
31/07/2016,43
7/08/2016,0
14/08/2016,0
21/08/2016,0
28/08/2016,15
4/09/2016,15
11/09/2016,44
18/09/2016,0
25/09/2016,15
2/10/2016,0
9/10/2016,0
16/10/2016,0
23/10/2016,14
30/10/2016,29
6/11/2016,41
13/11/2016,0
20/11/2016,0
27/11/2016,14
4/12/2016,14
11/12/2016,29
18/12/2016,15
25/12/2016,0
1/01/2017,15
8/01/2017,0
15/01/2017,0
22/01/2017,28
29/01/2017,0
5/02/2017,0
12/02/2017,0
19/02/2017,0
26/02/2017,0
5/03/2017,13
12/03/2017,12
19/03/2017,0
26/03/2017,12
2/04/2017,0
9/04/2017,0
16/04/2017,14
23/04/2017,13
30/04/2017,26
7/05/2017,13
14/05/2017,14
21/05/2017,0
28/05/2017,28
4/06/2017,0
11/06/2017,14
18/06/2017,14
25/06/2017,0
2/07/2017,14
9/07/2017,14
16/07/2017,28
23/07/2017,27
30/07/2017,14
6/08/2017,0
13/08/2017,13
20/08/2017,0
27/08/2017,26
3/09/2017,0
10/09/2017,26
17/09/2017,0
24/09/2017,14
1/10/2017,27
8/10/2017,0
15/10/2017,26
22/10/2017,26
29/10/2017,0
5/11/2017,13
12/11/2017,13
19/11/2017,13
26/11/2017,26
3/12/2017,13
10/12/2017,14
17/12/2017,14
24/12/2017,0
31/12/2017,14
7/01/2018,0
14/01/2018,26
21/01/2018,39
28/01/2018,26
4/02/2018,0
11/02/2018,13
18/02/2018,13
25/02/2018,0
4/03/2018,13
11/03/2018,12
18/03/2018,12
25/03/2018,0
1/04/2018,26
8/04/2018,25
15/04/2018,13
22/04/2018,0
29/04/2018,25
6/05/2018,0
13/05/2018,26
20/05/2018,13
27/05/2018,12
3/06/2018,12
10/06/2018,12
17/06/2018,0
24/06/2018,13
1/07/2018,26
8/07/2018,39
15/07/2018,26
22/07/2018,51
29/07/2018,38
5/08/2018,12
12/08/2018,0
19/08/2018,0
26/08/2018,0
2/09/2018,0
9/09/2018,38
16/09/2018,13
23/09/2018,13
30/09/2018,52
7/10/2018,13
14/10/2018,0
21/10/2018,38
28/10/2018,0
4/11/2018,12
11/11/2018,13
18/11/2018,38
25/11/2018,13
2/12/2018,0
9/12/2018,39
16/12/2018,40
23/12/2018,15
30/12/2018,14
6/01/2019,26
13/01/2019,26
20/01/2019,12
27/01/2019,25
3/02/2019,24
10/02/2019,12
17/02/2019,37
24/02/2019,37
3/03/2019,12
10/03/2019,37
17/03/2019,12
24/03/2019,12
31/03/2019,0
7/04/2019,12
14/04/2019,0
21/04/2019,26
28/04/2019,0
5/05/2019,12
12/05/2019,25
19/05/2019,12
26/05/2019,12
2/06/2019,35
9/06/2019,24
16/06/2019,24
23/06/2019,36
30/06/2019,37
7/07/2019,37
14/07/2019,12
21/07/2019,13
28/07/2019,12
4/08/2019,12
11/08/2019,12
18/08/2019,24
25/08/2019,12
1/09/2019,23
8/09/2019,12
15/09/2019,35
22/09/2019,0
29/09/2019,12
6/10/2019,0
13/10/2019,59
20/10/2019,0
27/10/2019,23
3/11/2019,46
10/11/2019,46
17/11/2019,58
24/11/2019,11
1/12/2019,12
8/12/2019,36
15/12/2019,24
22/12/2019,13
29/12/2019,25
5/01/2020,12
12/01/2020,68
19/01/2020,11
26/01/2020,35
2/02/2020,23
9/02/2020,45
16/02/2020,34
23/02/2020,22
1/03/2020,43
8/03/2020,22
15/03/2020,0
22/03/2020,70
29/03/2020,78
5/04/2020,41
12/04/2020,32
19/04/2020,40
26/04/2020,39
3/05/2020,20
10/05/2020,72
17/05/2020,40
24/05/2020,63
31/05/2020,11
7/06/2020,32
14/06/2020,32
21/06/2020,44
28/06/2020,33
5/07/2020,46
12/07/2020,34
19/07/2020,11
26/07/2020,11
2/08/2020,11
9/08/2020,44
16/08/2020,55
23/08/2020,11
30/08/2020,56
6/09/2020,0
13/09/2020,46
20/09/2020,23
27/09/2020,37
4/10/2020,100
11/10/2020,39
18/10/2020,13
25/10/2020,38
1/11/2020,24
8/11/2020,0
15/11/2020,25
22/11/2020,12
29/11/2020,13
6/12/2020,65
13/12/2020,13
20/12/2020,41
27/12/2020,26
3/01/2021,12
10/01/2021,37
17/01/2021,38
24/01/2021,13
31/01/2021,13
7/02/2021,25
14/02/2021,13
21/02/2021,13
28/02/2021,26
7/03/2021,26
14/03/2021,61
21/03/2021,51
28/03/2021,39
4/04/2021,51
11/04/2021,38
18/04/2021,72
