Category: All categories

Week,Domestic violence: (Australia)
2016-05-01,71
2016-05-08,65
2016-05-15,65
2016-05-22,69
2016-05-29,74
2016-06-05,54
2016-06-12,48
2016-06-19,53
2016-06-26,48
2016-07-03,48
2016-07-10,35
2016-07-17,40
2016-07-24,43
2016-07-31,55
2016-08-07,34
2016-08-14,61
2016-08-21,58
2016-08-28,64
2016-09-04,48
2016-09-11,57
2016-09-18,52
2016-09-25,54
2016-10-02,48
2016-10-09,66
2016-10-16,49
2016-10-23,59
2016-10-30,44
2016-11-06,48
2016-11-13,51
2016-11-20,66
2016-11-27,42
2016-12-04,38
2016-12-11,36
2016-12-18,35
2016-12-25,24
2017-01-01,25
2017-01-08,36
2017-01-15,34
2017-01-22,40
2017-01-29,50
2017-02-05,44
2017-02-12,42
2017-02-19,51
2017-02-26,54
2017-03-05,58
2017-03-12,53
2017-03-19,58
2017-03-26,62
2017-04-02,54
2017-04-09,48
2017-04-16,53
2017-04-23,46
2017-04-30,67
2017-05-07,61
2017-05-14,66
2017-05-21,55
2017-05-28,70
2017-06-04,51
2017-06-11,50
2017-06-18,44
2017-06-25,38
2017-07-02,31
2017-07-09,33
2017-07-16,44
2017-07-23,47
2017-07-30,41
2017-08-06,52
2017-08-13,54
2017-08-20,44
2017-08-27,62
2017-09-03,47
2017-09-10,49
2017-09-17,51
2017-09-24,40
2017-10-01,47
2017-10-08,45
2017-10-15,54
2017-10-22,40
2017-10-29,44
2017-11-05,62
2017-11-12,51
2017-11-19,51
2017-11-26,42
2017-12-03,40
2017-12-10,31
2017-12-17,30
2017-12-24,20
2017-12-31,21
2018-01-07,31
2018-01-14,29
2018-01-21,40
2018-01-28,38
2018-02-04,41
2018-02-11,33
2018-02-18,44
2018-02-25,49
2018-03-04,51
2018-03-11,57
2018-03-18,60
2018-03-25,46
2018-04-01,56
2018-04-08,40
2018-04-15,40
2018-04-22,44
2018-04-29,52
2018-05-06,49
2018-05-13,57
2018-05-20,64
2018-05-27,50
2018-06-03,52
2018-06-10,64
2018-06-17,52
2018-06-24,50
2018-07-01,47
2018-07-08,46
2018-07-15,39
2018-07-22,52
2018-07-29,58
2018-08-05,41
2018-08-12,47
2018-08-19,47
2018-08-26,54
2018-09-02,59
2018-09-09,54
2018-09-16,54
2018-09-23,53
2018-09-30,46
2018-10-07,47
2018-10-14,46
2018-10-21,59
2018-10-28,44
2018-11-04,61
2018-11-11,58
2018-11-18,63
2018-11-25,64
2018-12-02,57
2018-12-09,54
2018-12-16,50
2018-12-23,23
2018-12-30,40
2019-01-06,36
2019-01-13,45
2019-01-20,56
2019-01-27,39
2019-02-03,39
2019-02-10,47
2019-02-17,49
2019-02-24,48
2019-03-03,66
2019-03-10,62
2019-03-17,57
2019-03-24,50
2019-03-31,59
2019-04-07,44
2019-04-14,52
2019-04-21,53
2019-04-28,48
2019-05-05,49
2019-05-12,62
2019-05-19,57
2019-05-26,57
2019-06-02,58
2019-06-09,59
2019-06-16,46
2019-06-23,42
2019-06-30,41
2019-07-07,45
2019-07-14,46
2019-07-21,44
2019-07-28,44
2019-08-04,39
2019-08-11,59
2019-08-18,44
2019-08-25,51
2019-09-01,53
2019-09-08,58
2019-09-15,48
2019-09-22,49
2019-09-29,48
2019-10-06,50
2019-10-13,48
2019-10-20,47
2019-10-27,58
2019-11-03,57
2019-11-10,67
2019-11-17,49
2019-11-24,51
2019-12-01,47
2019-12-08,39
2019-12-15,35
2019-12-22,25
2019-12-29,21
2020-01-05,33
2020-01-12,38
2020-01-19,36
2020-01-26,37
2020-02-02,43
2020-02-09,44
2020-02-16,100
2020-02-23,84
2020-03-01,82
2020-03-08,79
2020-03-15,56
2020-03-22,43
2020-03-29,64
2020-04-05,43
2020-04-12,56
2020-04-19,48
2020-04-26,58
2020-05-03,65
2020-05-10,62
2020-05-17,68
2020-05-24,72
2020-05-31,57
2020-06-07,55
2020-06-14,61
2020-06-21,61
2020-06-28,48
2020-07-05,41
2020-07-12,42
2020-07-19,46
2020-07-26,48
2020-08-02,41
2020-08-09,48
2020-08-16,48
2020-08-23,50
2020-08-30,57
2020-09-06,59
2020-09-13,62
2020-09-20,42
2020-09-27,51
2020-10-04,56
2020-10-11,44
2020-10-18,42
2020-10-25,39
2020-11-01,51
2020-11-08,38
2020-11-15,49
2020-11-22,51
2020-11-29,32
2020-12-06,38
2020-12-13,39
2020-12-20,38
2020-12-27,28
2021-01-03,25
2021-01-10,45
2021-01-17,30
2021-01-24,46
2021-01-31,40
2021-02-07,35
2021-02-14,57
2021-02-21,63
2021-02-28,47
2021-03-07,50
2021-03-14,70
2021-03-21,64
2021-03-28,50
2021-04-04,48
2021-04-11,48
2021-04-18,69
