Category: All categories,
,
Week,domestic violence: (Western Australia)
1/05/2016,100
8/05/2016,56
15/05/2016,54
22/05/2016,46
29/05/2016,9
5/06/2016,28
12/06/2016,18
19/06/2016,18
26/06/2016,47
3/07/2016,20
10/07/2016,20
17/07/2016,31
24/07/2016,50
31/07/2016,58
7/08/2016,29
14/08/2016,51
21/08/2016,40
28/08/2016,97
4/09/2016,58
11/09/2016,39
18/09/2016,19
25/09/2016,20
2/10/2016,19
9/10/2016,29
16/10/2016,20
23/10/2016,38
30/10/2016,19
6/11/2016,18
13/11/2016,86
20/11/2016,47
27/11/2016,67
4/12/2016,38
11/12/2016,20
18/12/2016,41
25/12/2016,21
1/01/2017,29
8/01/2017,9
15/01/2017,47
22/01/2017,28
29/01/2017,72
5/02/2017,26
12/02/2017,9
19/02/2017,35
26/02/2017,42
5/03/2017,87
12/03/2017,42
19/03/2017,59
26/03/2017,60
2/04/2017,18
9/04/2017,28
16/04/2017,46
23/04/2017,45
30/04/2017,35
7/05/2017,63
14/05/2017,36
21/05/2017,55
28/05/2017,75
4/06/2017,10
11/06/2017,28
18/06/2017,18
25/06/2017,48
2/07/2017,10
9/07/2017,28
16/07/2017,28
23/07/2017,45
30/07/2017,46
6/08/2017,35
13/08/2017,18
20/08/2017,45
27/08/2017,26
3/09/2017,37
10/09/2017,62
17/09/2017,18
24/09/2017,57
1/10/2017,83
8/10/2017,53
15/10/2017,26
22/10/2017,26
29/10/2017,35
5/11/2017,34
12/11/2017,34
19/11/2017,27
26/11/2017,44
3/12/2017,35
10/12/2017,18
17/12/2017,0
24/12/2017,30
31/12/2017,18
7/01/2018,26
14/01/2018,34
21/01/2018,44
28/01/2018,35
4/02/2018,9
11/02/2018,43
18/02/2018,43
25/02/2018,17
4/03/2018,17
11/03/2018,42
18/03/2018,17
25/03/2018,26
1/04/2018,17
8/04/2018,59
15/04/2018,26
22/04/2018,17
29/04/2018,50
6/05/2018,50
13/05/2018,76
20/05/2018,75
27/05/2018,17
3/06/2018,34
10/06/2018,49
17/06/2018,8
24/06/2018,43
1/07/2018,26
8/07/2018,44
15/07/2018,43
22/07/2018,8
29/07/2018,50
5/08/2018,17
12/08/2018,34
19/08/2018,34
26/08/2018,51
2/09/2018,34
9/09/2018,52
16/09/2018,52
23/09/2018,28
30/09/2018,62
7/10/2018,34
14/10/2018,86
21/10/2018,51
28/10/2018,8
4/11/2018,66
11/11/2018,17
18/11/2018,69
25/11/2018,44
2/12/2018,36
9/12/2018,0
16/12/2018,64
23/12/2018,20
30/12/2018,56
6/01/2019,18
13/01/2019,52
20/01/2019,26
27/01/2019,26
3/02/2019,17
10/02/2019,26
17/02/2019,42
24/02/2019,17
3/03/2019,25
10/03/2019,50
17/03/2019,25
24/03/2019,17
31/03/2019,17
7/04/2019,25
14/04/2019,53
21/04/2019,36
28/04/2019,60
5/05/2019,42
12/05/2019,25
19/05/2019,42
26/05/2019,49
2/06/2019,16
9/06/2019,24
16/06/2019,25
23/06/2019,48
30/06/2019,41
7/07/2019,17
14/07/2019,59
21/07/2019,34
28/07/2019,59
4/08/2019,24
11/08/2019,16
18/08/2019,41
25/08/2019,48
1/09/2019,32
8/09/2019,94
15/09/2019,31
22/09/2019,24
29/09/2019,25
6/10/2019,32
13/10/2019,56
20/10/2019,55
27/10/2019,47
3/11/2019,31
10/11/2019,38
17/11/2019,77
24/11/2019,38
1/12/2019,31
8/12/2019,24
15/12/2019,25
22/12/2019,60
29/12/2019,25
5/01/2020,16
12/01/2020,46
19/01/2020,71
26/01/2020,39
2/02/2020,31
9/02/2020,38
16/02/2020,51
23/02/2020,57
1/03/2020,67
8/03/2020,78
15/03/2020,42
22/03/2020,46
29/03/2020,52
5/04/2020,54
12/04/2020,49
19/04/2020,20
26/04/2020,48
3/05/2020,47
10/05/2020,49
17/05/2020,50
24/05/2020,55
31/05/2020,36
7/06/2020,36
14/06/2020,43
21/06/2020,22
28/06/2020,30
5/07/2020,71
12/07/2020,16
19/07/2020,24
26/07/2020,39
2/08/2020,23
9/08/2020,30
16/08/2020,54
23/08/2020,70
30/08/2020,46
6/09/2020,54
13/09/2020,39
20/09/2020,47
27/09/2020,41
4/10/2020,59
11/10/2020,34
18/10/2020,34
25/10/2020,33
1/11/2020,30
8/11/2020,56
15/11/2020,33
22/11/2020,25
29/11/2020,41
6/12/2020,33
13/12/2020,43
20/12/2020,9
27/12/2020,43
3/01/2021,8
10/01/2021,24
17/01/2021,73
24/01/2021,17
31/01/2021,44
7/02/2021,55
14/02/2021,33
21/02/2021,16
28/02/2021,25
7/03/2021,74
14/03/2021,79
21/03/2021,34
28/03/2021,17
4/04/2021,8
11/04/2021,24
18/04/2021,27
