Category: All categories,
,
Week,domestic violence help: (Australia)
1/05/2016,77
8/05/2016,38
15/05/2016,97
22/05/2016,0
29/05/2016,19
5/06/2016,38
12/06/2016,20
19/06/2016,0
26/06/2016,60
3/07/2016,21
10/07/2016,0
17/07/2016,0
24/07/2016,21
31/07/2016,40
7/08/2016,41
14/08/2016,0
21/08/2016,0
28/08/2016,20
4/09/2016,20
11/09/2016,40
18/09/2016,20
25/09/2016,21
2/10/2016,21
9/10/2016,20
16/10/2016,40
23/10/2016,39
30/10/2016,100
6/11/2016,19
13/11/2016,40
20/11/2016,20
27/11/2016,20
4/12/2016,0
11/12/2016,0
18/12/2016,0
25/12/2016,0
1/01/2017,0
8/01/2017,0
15/01/2017,19
22/01/2017,20
29/01/2017,19
5/02/2017,0
12/02/2017,37
19/02/2017,0
26/02/2017,35
5/03/2017,18
12/03/2017,35
19/03/2017,52
26/03/2017,0
2/04/2017,18
9/04/2017,19
16/04/2017,19
23/04/2017,37
30/04/2017,18
7/05/2017,18
14/05/2017,0
21/05/2017,57
28/05/2017,58
4/06/2017,19
11/06/2017,0
18/06/2017,0
25/06/2017,0
2/07/2017,0
9/07/2017,20
16/07/2017,19
23/07/2017,38
30/07/2017,19
6/08/2017,0
13/08/2017,37
20/08/2017,37
27/08/2017,55
3/09/2017,0
10/09/2017,18
17/09/2017,37
24/09/2017,0
1/10/2017,19
8/10/2017,0
15/10/2017,54
22/10/2017,0
29/10/2017,36
5/11/2017,18
12/11/2017,52
19/11/2017,18
26/11/2017,18
3/12/2017,0
10/12/2017,0
17/12/2017,19
24/12/2017,0
31/12/2017,0
7/01/2018,0
14/01/2018,0
21/01/2018,18
28/01/2018,35
4/02/2018,53
11/02/2018,18
18/02/2018,52
25/02/2018,17
4/03/2018,0
11/03/2018,0
18/03/2018,35
25/03/2018,54
1/04/2018,54
8/04/2018,17
15/04/2018,18
22/04/2018,35
29/04/2018,17
6/05/2018,17
13/05/2018,18
20/05/2018,18
27/05/2018,0
3/06/2018,35
10/06/2018,34
17/06/2018,0
24/06/2018,0
1/07/2018,18
8/07/2018,0
15/07/2018,18
22/07/2018,36
29/07/2018,17
5/08/2018,52
12/08/2018,35
19/08/2018,35
26/08/2018,35
2/09/2018,52
9/09/2018,35
16/09/2018,0
23/09/2018,56
30/09/2018,18
7/10/2018,0
14/10/2018,36
21/10/2018,0
28/10/2018,17
4/11/2018,17
11/11/2018,35
18/11/2018,35
25/11/2018,18
2/12/2018,18
9/12/2018,0
16/12/2018,19
23/12/2018,0
30/12/2018,19
6/01/2019,0
13/01/2019,18
20/01/2019,34
27/01/2019,0
3/02/2019,50
10/02/2019,17
17/02/2019,51
24/02/2019,0
3/03/2019,33
10/03/2019,68
17/03/2019,33
24/03/2019,17
31/03/2019,34
7/04/2019,17
14/04/2019,0
21/04/2019,37
28/04/2019,49
5/05/2019,52
12/05/2019,17
19/05/2019,17
26/05/2019,51
2/06/2019,49
9/06/2019,0
16/06/2019,17
23/06/2019,0
30/06/2019,34
7/07/2019,17
14/07/2019,17
21/07/2019,0
28/07/2019,35
4/08/2019,34
11/08/2019,67
18/08/2019,17
25/08/2019,0
1/09/2019,16
8/09/2019,0
15/09/2019,0
22/09/2019,0
29/09/2019,69
6/10/2019,17
13/10/2019,33
20/10/2019,32
27/10/2019,16
3/11/2019,0
10/11/2019,80
17/11/2019,0
24/11/2019,32
1/12/2019,49
8/12/2019,50
15/12/2019,51
22/12/2019,18
29/12/2019,0
5/01/2020,16
12/01/2020,32
19/01/2020,0
26/01/2020,48
2/02/2020,79
9/02/2020,0
16/02/2020,78
23/02/2020,31
1/03/2020,30
8/03/2020,75
15/03/2020,59
22/03/2020,14
29/03/2020,27
5/04/2020,14
12/04/2020,29
19/04/2020,0
26/04/2020,27
3/05/2020,14
10/05/2020,57
17/05/2020,14
24/05/2020,15
31/05/2020,0
7/06/2020,75
14/06/2020,30
21/06/2020,15
28/06/2020,31
5/07/2020,64
12/07/2020,0
19/07/2020,46
26/07/2020,0
2/08/2020,31
9/08/2020,0
16/08/2020,77
23/08/2020,31
30/08/2020,62
6/09/2020,0
13/09/2020,16
20/09/2020,32
27/09/2020,0
4/10/2020,35
11/10/2020,18
18/10/2020,0
25/10/2020,18
1/11/2020,16
8/11/2020,53
15/11/2020,18
22/11/2020,52
29/11/2020,0
6/12/2020,55
13/12/2020,18
20/12/2020,0
27/12/2020,18
3/01/2021,17
10/01/2021,0
17/01/2021,18
24/01/2021,0
31/01/2021,35
7/02/2021,0
14/02/2021,35
21/02/2021,0
28/02/2021,91
7/03/2021,36
14/03/2021,17
21/03/2021,18
28/03/2021,36
4/04/2021,18
11/04/2021,0
18/04/2021,60
