WAPOL_Hierarchy_Lvl2,1
Arson,-6.82
Assault (Family),-9.41
Assault (Non-Family),-18.65
Breach of Violence Restraint Order,9.24
Burglary,-52.62
Deprivation of Liberty,-10.53
Drug Offences,45.1
Fraud & Related Offences,-41.54
Graffiti,6.58
Historical Sexual Offences,192.13
Homicide,11.11
Property Damage,-20.53
Receiving and Possession of Stolen Property,11.18
Recent Sexual Offences,65.93
Regulated Weapons Offences,29.69
Robbery,0.93
Stealing,-47.94
Stealing of Motor Vehicle,-48.33
Threatening Behaviour (Family),10.74
Threatening Behaviour (Non-Family),-4.89
