Website Region,Period,Rate
Goldfields-Esperance District,2020-02-01,1318.9117598366536
Goldfields-Esperance District,2020-04-01,1020.9149605430164
Goldfields-Esperance District,2020-06-01,785.460699372735
Great Southern District,2020-02-01,918.1381470004754
Great Southern District,2020-04-01,683.6850130342826
Great Southern District,2020-06-01,685.3245454396406
Kimberley District,2020-02-01,2648.9512826940754
Kimberley District,2020-04-01,1740.8985822121945
Kimberley District,2020-06-01,2189.354056990056
Mandurah District,2020-02-01,1557.0789031897034
Mandurah District,2020-04-01,1271.6843872411864
Mandurah District,2020-06-01,1232.5125909345272
Metropolitan Region,2020-02-01,974.1052631578947
Metropolitan Region,2020-04-01,742.6842105263158
Metropolitan Region,2020-06-01,716.6315789473684
Mid West-Gascoyne District,2020-02-01,1566.7704824254752
Mid West-Gascoyne District,2020-04-01,1296.6376406279794
Mid West-Gascoyne District,2020-06-01,1083.7094006228945
Pilbara District,2020-02-01,1072.5846713800267
Pilbara District,2020-04-01,950.1876217931167
Pilbara District,2020-06-01,871.2737345594511
South West District,2020-02-01,577.3370190943929
South West District,2020-04-01,507.25564683437995
South West District,2020-06-01,483.33898804723265
Wheatbelt District,2020-02-01,446.64133883464734
Wheatbelt District,2020-04-01,351.32154091261896
Wheatbelt District,2020-06-01,389.44946008143035
