Category: All categories,
,
Week,domestic violence help: (Western Australia)
1/05/2016,0
8/05/2016,0
15/05/2016,0
22/05/2016,0
29/05/2016,0
5/06/2016,0
12/06/2016,0
19/06/2016,0
26/06/2016,0
3/07/2016,0
10/07/2016,0
17/07/2016,56
24/07/2016,55
31/07/2016,52
7/08/2016,0
14/08/2016,0
21/08/2016,0
28/08/2016,0
4/09/2016,0
11/09/2016,54
18/09/2016,0
25/09/2016,0
2/10/2016,0
9/10/2016,53
16/10/2016,0
23/10/2016,0
30/10/2016,0
6/11/2016,0
13/11/2016,0
20/11/2016,0
27/11/2016,0
4/12/2016,0
11/12/2016,0
18/12/2016,0
25/12/2016,0
1/01/2017,0
8/01/2017,0
15/01/2017,0
22/01/2017,0
29/01/2017,0
5/02/2017,0
12/02/2017,0
19/02/2017,0
26/02/2017,0
5/03/2017,0
12/03/2017,0
19/03/2017,0
26/03/2017,47
2/04/2017,0
9/04/2017,0
16/04/2017,0
23/04/2017,0
30/04/2017,0
7/05/2017,0
14/05/2017,0
21/05/2017,0
28/05/2017,0
4/06/2017,0
11/06/2017,0
18/06/2017,0
25/06/2017,0
2/07/2017,0
9/07/2017,0
16/07/2017,0
23/07/2017,0
30/07/2017,0
6/08/2017,0
13/08/2017,96
20/08/2017,0
27/08/2017,48
3/09/2017,0
10/09/2017,0
17/09/2017,0
24/09/2017,0
1/10/2017,50
8/10/2017,0
15/10/2017,48
22/10/2017,0
29/10/2017,0
5/11/2017,0
12/11/2017,47
19/11/2017,0
26/11/2017,0
3/12/2017,0
10/12/2017,49
17/12/2017,0
24/12/2017,0
31/12/2017,100
7/01/2018,0
14/01/2018,0
21/01/2018,0
28/01/2018,0
4/02/2018,0
11/02/2018,0
18/02/2018,0
25/02/2018,0
4/03/2018,0
11/03/2018,0
18/03/2018,0
25/03/2018,0
1/04/2018,46
8/04/2018,0
15/04/2018,0
22/04/2018,0
29/04/2018,0
6/05/2018,0
13/05/2018,0
20/05/2018,0
27/05/2018,0
3/06/2018,47
10/06/2018,0
17/06/2018,0
24/06/2018,47
1/07/2018,0
8/07/2018,0
15/07/2018,0
22/07/2018,0
29/07/2018,0
5/08/2018,0
12/08/2018,0
19/08/2018,0
26/08/2018,0
2/09/2018,47
9/09/2018,0
16/09/2018,0
23/09/2018,0
30/09/2018,0
7/10/2018,0
14/10/2018,0
21/10/2018,0
28/10/2018,0
4/11/2018,90
11/11/2018,0
18/11/2018,47
25/11/2018,48
2/12/2018,0
9/12/2018,0
16/12/2018,50
23/12/2018,0
30/12/2018,0
6/01/2019,0
13/01/2019,0
20/01/2019,0
27/01/2019,48
3/02/2019,0
10/02/2019,0
17/02/2019,0
24/02/2019,0
3/03/2019,0
10/03/2019,0
17/03/2019,0
24/03/2019,0
31/03/2019,0
7/04/2019,0
14/04/2019,0
21/04/2019,0
28/04/2019,0
5/05/2019,46
12/05/2019,0
19/05/2019,46
26/05/2019,0
2/06/2019,0
9/06/2019,0
16/06/2019,0
23/06/2019,0
30/06/2019,0
7/07/2019,0
14/07/2019,0
21/07/2019,0
28/07/2019,0
4/08/2019,44
11/08/2019,0
18/08/2019,0
25/08/2019,44
1/09/2019,43
8/09/2019,0
15/09/2019,43
22/09/2019,0
29/09/2019,0
6/10/2019,0
13/10/2019,0
20/10/2019,0
27/10/2019,0
3/11/2019,0
10/11/2019,0
17/11/2019,0
24/11/2019,0
1/12/2019,0
8/12/2019,0
15/12/2019,0
22/12/2019,0
29/12/2019,0
5/01/2020,0
12/01/2020,0
19/01/2020,0
26/01/2020,0
2/02/2020,43
9/02/2020,41
16/02/2020,0
23/02/2020,0
1/03/2020,0
8/03/2020,0
15/03/2020,0
22/03/2020,0
29/03/2020,0
5/04/2020,0
12/04/2020,0
19/04/2020,0
26/04/2020,0
3/05/2020,0
10/05/2020,38
17/05/2020,0
24/05/2020,0
31/05/2020,0
7/06/2020,0
14/06/2020,39
21/06/2020,39
28/06/2020,0
5/07/2020,0
12/07/2020,0
19/07/2020,0
26/07/2020,0
2/08/2020,0
9/08/2020,41
16/08/2020,0
23/08/2020,0
30/08/2020,0
6/09/2020,0
13/09/2020,0
20/09/2020,0
27/09/2020,0
4/10/2020,0
11/10/2020,0
18/10/2020,0
25/10/2020,0
1/11/2020,0
8/11/2020,44
15/11/2020,0
22/11/2020,0
29/11/2020,0
6/12/2020,0
13/12/2020,0
20/12/2020,0
27/12/2020,47
3/01/2021,0
10/01/2021,44
17/01/2021,0
24/01/2021,0
31/01/2021,0
7/02/2021,0
14/02/2021,0
21/02/2021,0
28/02/2021,0
7/03/2021,0
14/03/2021,43
21/03/2021,0
28/03/2021,0
4/04/2021,0
11/04/2021,0
18/04/2021,0
