Category: All categories

Week,Domestic violence: (Western Australia)
2016-05-01,97
2016-05-08,50
2016-05-15,40
2016-05-22,48
2016-05-29,25
2016-06-05,49
2016-06-12,41
2016-06-19,32
2016-06-26,8
2016-07-03,35
2016-07-10,27
2016-07-17,9
2016-07-24,71
2016-07-31,43
2016-08-07,17
2016-08-14,72
2016-08-21,35
2016-08-28,86
2016-09-04,52
2016-09-11,78
2016-09-18,43
2016-09-25,18
2016-10-02,60
2016-10-09,43
2016-10-16,27
2016-10-23,26
2016-10-30,17
2016-11-06,33
2016-11-13,59
2016-11-20,59
2016-11-27,60
2016-12-04,34
2016-12-11,17
2016-12-18,9
2016-12-25,29
2017-01-01,26
2017-01-08,42
2017-01-15,25
2017-01-22,33
2017-01-29,64
2017-02-05,24
2017-02-12,24
2017-02-19,23
2017-02-26,30
2017-03-05,54
2017-03-12,68
2017-03-19,61
2017-03-26,61
2017-04-02,39
2017-04-09,42
2017-04-16,49
2017-04-23,8
2017-04-30,62
2017-05-07,23
2017-05-14,49
2017-05-21,99
2017-05-28,100
2017-06-04,17
2017-06-11,16
2017-06-18,66
2017-06-25,25
2017-07-02,35
2017-07-09,34
2017-07-16,49
2017-07-23,48
2017-07-30,33
2017-08-06,31
2017-08-13,24
2017-08-20,16
2017-08-27,32
2017-09-03,49
2017-09-10,40
2017-09-17,24
2017-09-24,59
2017-10-01,50
2017-10-08,64
2017-10-15,70
2017-10-22,15
2017-10-29,32
2017-11-05,54
2017-11-12,54
2017-11-19,39
2017-11-26,32
2017-12-03,56
2017-12-10,8
2017-12-17,16
2017-12-24,44
2017-12-31,33
2018-01-07,31
2018-01-14,53
2018-01-21,55
2018-01-28,62
2018-02-04,23
2018-02-11,45
2018-02-18,30
2018-02-25,15
2018-03-04,38
2018-03-11,60
2018-03-18,38
2018-03-25,54
2018-04-01,54
2018-04-08,83
2018-04-15,15
2018-04-22,15
2018-04-29,83
2018-05-06,30
2018-05-13,38
2018-05-20,30
2018-05-27,23
2018-06-03,68
2018-06-10,59
2018-06-17,88
2018-06-24,38
2018-07-01,23
2018-07-08,39
2018-07-15,54
2018-07-22,38
2018-07-29,15
2018-08-05,38
2018-08-12,30
2018-08-19,53
2018-08-26,38
2018-09-02,53
2018-09-09,61
2018-09-16,16
2018-09-23,49
2018-09-30,39
2018-10-07,38
2018-10-14,77
2018-10-21,46
2018-10-28,59
2018-11-04,74
2018-11-11,45
2018-11-18,53
2018-11-25,47
2018-12-02,80
2018-12-09,40
2018-12-16,24
2018-12-23,44
2018-12-30,33
2019-01-06,16
2019-01-13,39
2019-01-20,53
2019-01-27,15
2019-02-03,38
2019-02-10,30
2019-02-17,23
2019-02-24,30
2019-03-03,60
2019-03-10,38
2019-03-17,60
2019-03-24,68
2019-03-31,45
2019-04-07,53
2019-04-14,24
2019-04-21,32
2019-04-28,45
2019-05-05,45
2019-05-12,46
2019-05-19,59
2019-05-26,66
2019-06-02,71
2019-06-09,50
2019-06-16,65
2019-06-23,43
2019-06-30,44
2019-07-07,45
2019-07-14,15
2019-07-21,30
2019-07-28,37
2019-08-04,43
2019-08-11,36
2019-08-18,29
2019-08-25,57
2019-09-01,63
2019-09-08,92
2019-09-15,63
2019-09-22,51
2019-09-29,37
2019-10-06,79
2019-10-13,43
2019-10-20,28
2019-10-27,28
2019-11-03,63
2019-11-10,55
2019-11-17,62
2019-11-24,62
2019-12-01,28
2019-12-08,29
2019-12-15,44
2019-12-22,23
2019-12-29,7
2020-01-05,14
2020-01-12,34
2020-01-19,49
2020-01-26,35
2020-02-02,41
2020-02-09,41
2020-02-16,73
2020-02-23,70
2020-03-01,79
2020-03-08,51
2020-03-15,37
2020-03-22,46
2020-03-29,64
2020-04-05,72
2020-04-12,56
2020-04-19,30
2020-04-26,67
2020-05-03,48
2020-05-10,49
2020-05-17,51
2020-05-24,37
2020-05-31,39
2020-06-07,38
2020-06-14,26
2020-06-21,45
2020-06-28,27
2020-07-05,63
2020-07-12,35
2020-07-19,42
2020-07-26,35
2020-08-02,48
2020-08-09,34
2020-08-16,34
2020-08-23,84
2020-08-30,55
2020-09-06,83
2020-09-13,48
2020-09-20,49
2020-09-27,60
2020-10-04,83
2020-10-11,31
2020-10-18,53
2020-10-25,66
2020-11-01,60
2020-11-08,51
2020-11-15,22
2020-11-22,29
2020-11-29,52
2020-12-06,52
2020-12-13,23
2020-12-20,48
2020-12-27,30
2021-01-03,21
2021-01-10,36
2021-01-17,80
2021-01-24,37
2021-01-31,53
2021-02-07,86
2021-02-14,29
2021-02-21,22
2021-02-28,7
2021-03-07,22
2021-03-14,70
2021-03-21,37
2021-03-28,44
2021-04-04,37
2021-04-11,43
2021-04-18,48
